,Date,Open,High,Low,Close,%Cchange,%Pchange
0,2018-01-02,4324.75,4330.65,4277.9,4307.15,-0.4069599398809264,0.2577110154046052
1,2018-01-03,4322.85,4335.7,4294.15,4302.1,-0.4800074025237978,-0.1173845331349636
2,2018-01-04,4319.85,4357.9,4309.95,4352.5,0.7558132805537144,1.1579551981619676
3,2018-01-05,4366.6,4373.05,4338.35,4348.85,-0.4064947556451243,-0.0839302344297834
4,2018-01-08,4361.05,4386.8,4360.9,4380.75,0.45172607514245,0.7281858129315674
5,2018-01-09,4401.0,4403.5,4378.1,4388.4,-0.2862985685071657,0.1743232157506069
6,2018-01-10,4391.6,4418.6,4377.35,4393.55,0.0444029510884374,0.1172172844283221
7,2018-01-11,4392.95,4393.85,4366.2,4378.1,-0.3380416348922581,-0.3528928073821936
8,2018-01-12,4388.15,4398.0,4353.8,4381.9,-0.1424290418513497,0.0867203724411618
9,2018-01-15,4388.1,4406.45,4353.45,4363.05,-0.5708621043276174,-0.4320372216683157
10,2018-01-16,4369.05,4371.5,4260.6,4273.5,-2.1869742850276417,-2.0954720954721
11,2018-01-17,4269.25,4305.4,4204.7,4295.95,0.6254025882766251,0.5225852256194746
12,2018-01-18,4307.95,4313.1,4197.5,4218.55,-2.0752329994544887,-1.834753647580321
13,2018-01-19,4225.9,4257.55,4202.6,4249.3,0.5537281999100913,0.7236486009460381
14,2018-01-22,4265.8,4283.2,4228.15,4248.3,-0.4102395799146701,-0.0235388272956241
15,2018-01-23,4277.5,4319.65,4263.45,4308.95,0.7352425482174124,1.407535478480828
16,2018-01-24,4312.9,4328.45,4291.7,4320.35,0.1727376011500551,0.2638675107340966
17,2018-01-25,4338.6,4356.1,4297.45,4306.75,-0.7341077767021703,-0.3157833633250215
18,2018-01-29,4312.75,4315.7,4257.35,4264.35,-1.1222537823894183,-0.9942898683269346
19,2018-01-30,4262.5,4313.8,4255.95,4304.35,0.9818181818181902,0.929292459953303
20,2018-01-31,4296.85,4313.4,4258.55,4288.75,-0.1885101876956459,-0.3637423491693469
21,2018-02-01,4293.55,4313.85,4219.3,4251.3,-0.9840341908211152,-0.8809070166772472
22,2018-02-02,4213.4,4214.35,4110.2,4121.75,-2.1752029240043584,-3.143082428580098
23,2018-02-05,4079.75,4156.35,4044.3,4133.75,1.3236105153502054,0.2902933172059268
24,2018-02-06,3999.2,4083.9,3994.3,4068.55,1.734096819363882,-1.6025365302134622
25,2018-02-07,4111.7,4152.1,4101.55,4142.1,0.7393535520587724,1.775669346466772
26,2018-02-08,4143.3,4161.65,4126.15,4130.15,-0.3173798662901683,-0.2893357384114555
27,2018-02-09,4082.55,4136.8,4070.85,4118.4,0.8781276408127139,-0.2853049728049728
28,2018-02-12,4167.15,4171.3,4128.5,4157.5,-0.2315731375160394,0.9404690318701232
29,2018-02-14,4179.35,4181.75,4109.75,4121.6,-1.3817938196130977,-0.8710209627329104
30,2018-02-15,4134.1,4147.3,4116.9,4139.6,0.1330398393846302,0.4348246207363029
31,2018-02-16,4148.55,4154.85,4083.2,4090.3,-1.4041050487519735,-1.2052905654841988
32,2018-02-19,4100.35,4100.75,4025.2,4051.45,-1.1925811211238198,-0.958915943674496
33,2018-02-20,4054.25,4079.05,4035.65,4060.6,0.1566257630881151,0.2253361572181473
34,2018-02-21,4076.95,4076.95,4020.9,4051.7,-0.6193355326898785,-0.2196608830861142
35,2018-02-22,4018.05,4025.15,3989.85,3999.05,-0.4728661913117059,-1.3165626836373547
36,2018-02-23,4010.0,4056.55,3997.05,4052.05,1.0486284289276853,1.30797991140287
37,2018-02-26,4075.8,4108.9,4069.55,4093.3,0.4293635605279944,1.0077443627391105
38,2018-02-27,4111.45,4118.0,4061.05,4072.6,-0.944922107772195,-0.5082748121593152
39,2018-02-28,4041.15,4062.55,4027.0,4052.2,0.2734370166907867,-0.5034302354276712
40,2018-03-01,4053.3,4076.65,4043.95,4062.1,0.2171070485776953,0.2437163043745868
41,2018-03-05,4045.05,4047.1,3985.9,4002.7,-1.0469586284471233,-1.4839983011467284
42,2018-03-06,4026.75,4039.65,3973.9,3984.75,-1.0430247718383312,-0.4504674069891415
43,2018-03-07,3976.6,3978.85,3934.85,3949.75,-0.6751999195292439,-0.8861320336730172
44,2018-03-08,3968.2,3970.6,3905.4,3943.55,-0.6211884481628859,-0.1572187496037787
45,2018-03-09,3950.8,3965.45,3922.3,3926.95,-0.603675205021777,-0.4227199225862403
46,2018-03-12,3950.6,3996.65,3920.85,3989.3,0.9795980357414132,1.562930839997001
47,2018-03-13,3983.25,4041.4,3974.95,4030.1,1.1761752337914997,1.0123818267536715
48,2018-03-14,4013.8,4023.9,3984.35,3999.0,-0.3687278887837008,-0.7776944236058991
49,2018-03-15,3985.25,3995.1,3966.45,3987.7,0.0614766953139657,-0.2833713669533862
